word,n,ngram_length,count,text_count
he the demon shreve said,2,5,1,2
he the lawyer would,4,4,1,4
he thought he had,2,4,1,2
he thought of it,2,4,1,2
he told grandfather and,2,4,1,2
he told grandfather he did,2,5,1,2
he told grandfather how,2,4,1,2
he was a catholic,2,4,1,2
he was big enough to,2,5,1,2
he was born in,3,4,1,3
he was in a,2,4,1,2
he was looking at,2,4,1,2
he was not a coward,2,5,1,2
he was not afraid,4,4,1,4
he was not even,2,4,1,3
he was not present,2,4,1,2
he was not there,2,4,1,2
he was talking about,2,4,1,2
he was the biggest,2,4,1,2
he was too busy,3,4,1,3
he was wrong in being,2,5,1,2
he went away to school,2,5,1,2
he went on he,2,4,1,2
he went to bed by,2,5,1,2
he went to the west indies,2,6,1,2
he would be lying,2,4,1,2
he would do it,2,4,1,2
he would ever know,2,4,1,2
he would have been,2,4,1,3
he would have gone,2,4,1,2
he would have had the plume,2,6,1,2
he would have known,2,4,1,2
he would have to die,2,5,1,2
he would have to get,2,5,1,3
he would have to think,2,5,1,2
he would have wanted,2,4,1,2
he would look at,2,4,1,2
he would need to,2,4,1,2
he would not even,5,4,1,6
he would not have done,2,5,1,2
he would seem to,2,4,1,2
henry and bon came,2,4,1,2
henry and bon not,2,4,1,2
henry brought him home,2,4,1,2
henry didn't say you lie,2,5,1,2
henry said wait wait,2,4,1,2
henry that he bon was,2,5,1,2
henry were there now,2,4,1,2
henry who could not,2,4,1,2
henry would have to,2,4,1,2
henry would not let,2,4,1,2
henry would say but,2,4,1,2
her and he had,2,4,1,2
her and the child,2,4,1,3
her father had not,2,4,1,2
her sister's dying request,2,4,1,2
her that he was,2,4,1,2
hidden in it but,2,4,1,2
him all of it,2,4,1,2
him and fetched him,2,4,1,2
him and maybe he,2,4,1,2
him and only your grandfather to,2,6,1,2
him and then he,4,4,1,4
him and then the,2,4,1,2
him as if he,2,4,1,2
him back into the,2,4,1,2
him back to the,2,4,1,2
him body and soul,2,4,1,2
him even if he,2,4,1,2
him for the first time,2,5,1,2
him for two years,2,4,1,2
him so he knew,2,4,1,2
him sutpen without the,2,4,1,2
him to be the,2,4,1,3
him to go to the,2,5,1,2
him to the extent of,2,5,1,2
him to the house and,2,5,1,2
him well enough to,2,4,1,2
him what it was,2,4,1,2
him when he passed,2,4,1,2
him with that same,2,4,1,2
himself had not been,2,4,1,2
his clothing and speech,2,4,1,2
his conscience and the,2,4,1,3
his father had got,2,4,1,2
his father in law,4,4,1,4
his father the lie,2,4,1,2
his father was not,2,4,1,2
his father watching him,2,4,1,2
his future son in law,2,5,1,2
his hand on the,2,4,1,2
his hands lying on either side of the,2,8,1,2
his heredity and training,2,4,1,2
his home and birthright,2,4,1,2
his hundred square miles,2,4,1,2
his knees drawn up under,2,5,1,2
his leg and the,2,4,1,2
his mother and the,2,4,1,2
his name and lineage,2,4,1,2
his share of the,3,4,1,3
his son in law had,2,5,1,2
his teeth showing and the sweat on his face,2,9,1,2
his the demon's shreve said,2,5,1,2
his way back to,2,4,1,2
holding all three of them,2,5,1,2
house and for the,2,4,1,2
house twelve miles from,2,4,1,2
house where he had,2,4,1,2
house which he had,2,4,1,2
how at last he,2,4,1,2
how can he be,2,4,1,2
how could i have,2,4,1,2
how he did it,2,4,1,2
how he got from the,2,5,1,2
how he got to where,2,5,1,2
how he said it,2,4,1,2
how it had been,2,4,1,2
how it was the,2,4,1,3
how she had been,2,4,1,2
how there was something,2,4,1,2
hundred miles of land,2,4,1,2
hundred square miles of,2,4,1,2
i'm going to tech you kernel and sutpen,2,8,1,2
i am still young,2,4,1,2
i am young young,2,4,1,2
i can imagine her,2,4,1,2
i can imagine him,3,4,1,3
i can imagine how bon,2,5,1,2
i cannot say when to expect me because what,2,9,1,2
i could have gone,2,4,1,2
i could not have,2,4,1,2
i could not would not,2,5,1,2
i could see her,2,4,1,2
i did not ask,2,4,1,2
i did not even know,2,5,1,2
i did not i,2,4,1,3
i did not know,2,4,1,2
i did not love him how could i,2,8,1,2
i did not say,3,4,1,3
i didn't need to,2,4,1,2
i do not excuse it i,2,6,1,2
i do not insult you,2,5,1,2
i do not know that,2,5,1,2
i do not know what,2,5,1,2
i do not say,2,4,1,2
i don't hate it,4,4,1,4
i dont believe it,4,4,1,4
i dont expect you to,2,5,1,2
i dont know and,3,4,1,3
i dont know what to do i,2,7,1,1
i had a design,2,4,1,2
i had never seen him,2,5,1,2
i had not even,2,4,1,2
i have had to listen,2,5,1,2
i have heard how,2,4,1,2
i have waited long enough and,2,6,1,2
i hold no brief for myself i,2,7,1,2
i just dont want to,2,5,1,2
i might be considered to have,2,6,1,2
i never owned him,2,4,1,2
i never saw him i never even saw him dead i heard,2,12,1,2
i remember how as we,2,5,1,2
i sat there and,2,4,1,2
i self mesmered fool,2,4,1,2
i set out to,2,4,1,2
i shall have to,2,4,1,2
i stood there before the,2,5,1,2
i think it was,2,4,1,2
i told you i,2,4,1,2
i was born too late i was,2,7,1,2
i was fourteen then,2,4,1,2
i was not spying,4,4,1,4
i was not there,3,4,1,3
i was not to,2,4,1,2
i was still a,2,4,1,2
i was that sun,2,4,1,2
i was wrong i,2,4,1,2
i went out there to,2,5,1,2
i will believe i will i will,3,7,1,3
i will never see,2,4,1,2
i would have to,3,4,1,3
i would want him to be,2,6,1,2
if he could become metamorphose into the,2,7,1,2
if he did not,3,4,1,3
if he had been,2,4,1,2
if he had known,2,4,1,2
if he hadn't been,2,4,1,2
if he was going to,2,5,1,2
if he were to,3,4,1,4
if i had not,2,4,1,2
if i told him,2,4,1,2
if i were to,3,4,1,3
if it had been,5,4,1,5
if it hadn't been for,2,5,1,2
if it were not for,2,5,1,2
if it were to be,2,5,1,2
if she had had,2,4,1,2
if that had been,2,4,1,2
if there could have been,2,5,1,2
if we can just get to the house get,2,9,1,2
impervious to time and,2,4,1,2
in a country and,2,4,1,2
in a kind of,6,4,1,6
in a man who,3,4,1,3
in a new england,2,4,1,2
in bed in the,3,4,1,3
in comparison with which,2,4,1,2
in four years and,4,4,1,4
in front of the,2,4,1,3
in good faith with no reservations,2,6,1,2
in hating her father,2,4,1,2
in her power she,2,4,1,2
in her wedding gown,2,4,1,2
in his face that was,2,5,1,2
in his hand and i,2,5,1,2
in his hand he,2,4,1,2
in his life the,2,4,1,2
in it and you,2,4,1,2
in just a minute,3,4,1,3
in mississippi in 1833,2,4,1,2
in more ways than one,2,5,1,2
in new orleans but,2,4,1,2
in one hand and,2,4,1,2
in one of the,7,4,1,7
in order to be,2,4,1,2
in order to live with himself,2,6,1,2
in preference to any other,2,5,1,2
in the abandoned fishing camp with,2,6,1,2
in the act of,2,4,1,2
in the back yard and,2,5,1,2
in the bed and,2,4,1,2
in the black dress that,2,5,1,2
in the book and,2,4,1,2
in the buggy beside,3,4,1,3
in the carriage on that first sunday,2,7,1,2
in the cold room,3,4,1,3
in the dark and,4,4,1,4
in the door and,2,4,1,2
in the face of,2,4,1,2
in the hall and,2,4,1,2
in the hall below,3,4,1,3
in the holston house,2,4,1,2
in the house and,3,4,1,3
in the house on,2,4,1,2
in the house the,2,4,1,2
in the house where,2,4,1,2
in the image of,3,4,1,3
in the late fall,2,4,1,2
in the library that,3,4,1,3
in the massachusetts bed,2,4,1,2
in the middle of the afternoon,2,6,1,2
in the night and,2,4,1,2
in the office that,2,4,1,2
in the old days the old,2,6,1,2
in the person of,2,4,1,2
in the road and,2,4,1,2
in the secret drawer,2,4,1,2
in the sense that,3,4,1,3
in the street before my house,2,6,1,2
in the sun and,2,4,1,2
in the throes of,2,4,1,2
in which he had,5,4,1,6
in which he saw,2,4,1,2
in which he would,2,4,1,3
in which men and women,2,5,1,2
in which she had,2,4,1,2
in which there was,2,4,1,2
in which they had,2,4,1,2
inexperience to excuse her,2,4,1,2
inside his beard and,2,4,1,2
instead of the wild,2,4,1,2
into the carriage and,2,4,1,2
into the darkness and,2,4,1,2
into the gates and up,2,5,1,2
into the house and,8,4,1,8
into the house the,2,4,1,2
into the house where,2,4,1,2
into the space where the daughter daughter daughter never had,2,10,1,2
invented and which was,2,4,1,2
iron new england snow,2,4,1,2
is beside the point,2,4,1,2
isn't it it's better than,2,5,1,2
it's because she wants it told,2,6,1,2
it's rosa aunt rosa,2,4,1,2
it again and then,2,4,1,2
it all over again i am,2,6,1,2
it and father said,2,4,1,2
it and he said,2,4,1,2
it as if the,2,4,1,2
it as though in,2,4,1,2
it as well as,3,4,1,4
it could not be,2,4,1,2
it did not even,2,4,1,2
it did not matter to,3,5,1,3
it down they did,2,4,1,2
it for the first time,2,5,1,2
it had been a,3,4,1,5
it had been the,2,4,1,3
it had never once,2,4,1,2
it had not been,2,4,1,2
it he would know,2,4,1,2
it i do not even,2,5,1,2
it i dont know,2,4,1,2
it i remember how,2,4,1,3
it if he had,2,4,1,2
it if i can,2,4,1,2
it if she had,2,4,1,2
it it was as though,2,5,1,2
it it would have,2,4,1,2
it may have been the,2,5,1,2
it might have been,2,4,1,2
it must have been in,2,5,1,2
it not even to,2,4,1,2
it or not or,2,4,1,2
it out of the,2,4,1,2
it quentin did not answer,2,5,1,2
it seemed to him that,3,5,1,3
it seemed to quentin that he could actually see them,2,10,1,2
it so that maybe,2,4,1,2
it that he had,2,4,1,3
it that he was,2,4,1,3
it that there was,2,4,1,2
it then he would,2,4,1,2
it to me that,2,4,1,2
it used to be,2,4,1,2
it was a good,2,4,1,3
it was all over,2,4,1,2
it was all right,2,4,1,2
it was all the same,2,5,1,2
it was almost a,2,4,1,3
it was and he,2,4,1,2
it was as if he,2,5,1,2
it was as the,2,4,1,2
it was as though the,2,5,1,2
it was at this,2,4,1,2
it was because he,2,4,1,2
it was because she,2,4,1,2
it was clytie who,2,4,1,2
it was general compson who,3,5,1,3
it was going to happen,2,5,1,2
it was he had,2,4,1,2
it was his father,2,4,1,2
it was in his face,2,5,1,2
it was judith who,2,4,1,2
it was just the,3,4,1,4
it was like he,2,4,1,2
it was more than that,2,5,1,2
it was no madman who,2,5,1,2
it was not a,2,4,1,5
it was not bon,2,4,1,2
it was not love i do not,2,7,1,2
it was not only,2,4,1,2
it was not that,4,4,1,4
it was not until after,2,5,1,2
it was only the,3,4,1,3
it was quite cold,2,4,1,2
it was six years now,2,5,1,2
it was so he,2,4,1,2
it was that he,2,4,1,2
it was that same,3,4,1,3
it was that they,3,4,1,3
it was the actual,2,4,1,2
it was the aunt,2,4,1,2
it was the fact that,2,5,1,2
it was the lawyer,2,4,1,2
it was the probation,2,4,1,2
it was three hours before,2,5,1,2
it was to him,2,4,1,2
it was too late,3,4,1,3
it wont be much longer now and then,2,8,1,2
it would be a short one it would be,2,9,1,2
it would be in,2,4,1,2
it would be june now,2,5,1,2
it would be just,2,4,1,2
it would be like a,2,5,1,2
it would be no secret,2,5,1,2
it would be the,6,4,1,6
it would have to be,2,5,1,2
it would not be the,2,5,1,2
it would not even,3,4,1,3
it would not have,2,4,1,2
just as he had,4,4,1,4
just as he knew,2,4,1,2
just as he would have,2,5,1,2
just as she had,3,4,1,3
just let herself go,2,4,1,2
just that much more,2,4,1,2
just vanished she heard,2,4,1,2
kind of a fool,3,4,1,3
knew all the time that,2,5,1,2
knew at once that,2,4,1,2
knew it or not,2,4,1,2
knew it was not,2,4,1,2
knew that he had,2,4,1,2
knew that she had,2,4,1,2
knew that she was,2,4,1,2
knew that that would,2,4,1,2
knew then and so,2,4,1,2
knew what he was going to do,2,7,1,2
knew what he would,2,4,1,2
knew what they would,2,4,1,2
knew what would be,2,4,1,2
knives or rapiers too,2,4,1,2
knock at it and,2,4,1,2
know that he had,2,4,1,2
know that he was,4,4,1,4
know that she had,2,4,1,2
know that wash was,2,4,1,2
know what he was going to do,2,7,1,2
know what i am going to do,2,7,1,2
know what i think,2,4,1,2
know yet what he,2,4,1,2
knowing that he would,4,4,1,4
knowing that what he,2,4,1,2
known all the while that,2,5,1,2
known that he would have,2,5,1,2
lawyer the woman who,2,4,1,2
lay in the hammock,2,4,1,2
learned to live without,2,4,1,2
left the house before,2,4,1,2
less than no answer at all,2,6,1,2
let's get out of this,2,5,1,2
let you be the judge,2,5,1,2
lied to him about,2,4,1,2
like a fairy tale,2,4,1,2
like a man who had been,3,6,1,3
like a man would,2,4,1,2
like an explosion a,2,4,1,2
like he might have been,2,5,1,2
like she told him,2,4,1,2
like the aunt rosa,2,4,1,2
like the one that,2,4,1,2
like when you have,2,4,1,2
listening beyond closed doors,2,4,1,2
live with himself for the rest of his life,2,9,1,2
lived for two years,2,4,1,2
long enough to be,2,4,1,2
long enough to have,2,4,1,2
look at one another,2,4,1,2
look in the face,2,4,1,2
looked at her and,2,4,1,2
looked at it and,2,4,1,2
looked at one another for a while,2,7,1,2
looked at you and,2,4,1,2
looked down at him,2,4,1,2
looked down from the loft that night,2,7,1,2
looked once at the,2,4,1,2
looked up and saw,3,4,1,3
looked upon it as,2,4,1,2
looking as though they had been,2,6,1,2
looking at him with,2,4,1,2
looking at me he,2,4,1,2
looking at me with,2,4,1,2
looking at one another,2,4,1,2
looking at the letter,2,4,1,2
looking down at him,4,4,1,4
lying on the open,2,4,1,2
mad impotent old man who,2,5,1,2
make sense to her,2,4,1,2
man whom she was,2,4,1,2
managed to find him,2,4,1,2
marry judith when he wished,2,5,1,2
maybe he could even,3,4,1,3
maybe he didn't even,2,4,1,2
maybe he knew that,3,4,1,3
maybe it was just,2,4,1,2
maybe not even hearing,2,4,1,2
maybe that first time,2,4,1,2
maybe they would even,2,4,1,2
maybe what he was doing,2,5,1,2
maybe your old man was right,2,6,1,2
me a chance to say it,2,6,1,2
me for twenty years,2,4,1,2
me from the stairs,2,4,1,2
me i would have,3,4,1,3
me to do and,3,4,1,3
mean what he said it will be,2,7,1,2
men on whom he could depend,2,6,1,2
might have been any age,2,5,1,2
might have been expected to,3,5,1,3
might have been which is,2,5,1,2
might have done it,2,4,1,2
mile journey to investigate him,2,5,1,2
mine and ellen's father,2,4,1,2
mine and my sister's,2,4,1,2
miss coldfield at least,2,4,1,2
miss rosa coldfield says,4,4,1,4
miss rosa did not,3,4,1,3
miss rosa to look,2,4,1,2
miss rosa was not,3,4,1,3
miss rosa would have,2,4,1,2
money with which to,2,4,1,2
moons of his spectacles,2,4,1,2
more of courage than even will,2,6,1,2
more than once in,2,4,1,2
more than the mere,2,4,1,2
more than thirty years,3,4,1,3
most of the young men,2,5,1,2
mother and sister and,2,4,1,2
mr compson said he,2,4,1,3
mr compson said maybe,2,4,1,2
mr compson said quentin,2,4,1,2
much louder than the,2,4,1,2
must have been seeing,2,4,1,2
must have been some,3,4,1,3
must have known that it,2,5,1,2
must have seemed to,2,4,1,2
must have talked about,2,4,1,2
my god i am,2,4,1,2
naked to the waist,2,4,1,2
negroes against one another,2,4,1,2
neither detailing nor recapitulation in the place where,2,8,1,2
never for one instant,2,4,1,2
never for one moment,2,4,1,2
never to come to that front door again,2,8,1,2
never to see her,2,4,1,2
never would know what,2,4,1,2
nevermore of peace nevermore,2,4,1,1
new again when he,2,4,1,2
no brief no pity who did not,2,7,1,2
no henry says no no,2,5,1,2
no i hold no brief for,2,6,1,2
no no not that,2,4,1,2
no one could say,2,4,1,2
no pleasure in the,3,4,1,3
no sign if it,2,4,1,2
no word to me,2,4,1,2
nobody ever did know,2,4,1,2
none to ever know,2,4,1,2
not as women love,2,4,1,2
not at all as,2,4,1,2
not at all concerned,2,4,1,2
not because i was,2,4,1,2
not because it was,2,4,1,2
not even have to ask me,2,6,1,2
not even seem to,2,4,1,2
not fixed at all,2,4,1,2
not for one moment,2,4,1,2
not goodbye all right,2,4,1,2
not have believed that,2,4,1,2
not have known what,2,4,1,2
not have to do,2,4,1,2
not have tried to,2,4,1,2
not in west virginia shreve said,2,6,1,2
not know that the,2,4,1,2
not know what he,2,4,1,2
not look at me,2,4,1,2
not love quentin said,2,4,1,2
not much louder than,2,4,1,2
not needing to say i,2,5,1,2
not only an orphan but a pauper,2,7,1,2
not only by the,2,4,1,2
not only had not,2,4,1,2
not only had the,2,4,1,2
not only no land,2,4,1,2
not only of different,2,4,1,2
not remember when he had,2,5,1,2
not that he would,2,4,1,2
not the fact that,2,4,1,2
not to go to,2,4,1,2
not to see the,2,4,1,2
not to speak of,2,4,1,2
not two of them,3,4,1,3
not what he would,2,4,1,2
nothing at all rather than,2,5,1,2
nothing comic in it,2,4,1,2
nothing under the sun,3,4,1,3
now and at last,3,4,1,3
now and that he,2,4,1,2
now and then and,3,4,1,3
now and then the,2,4,1,3
now even if the,2,4,1,2
now i was wrong,2,4,1,2
now i will have to,2,5,1,2
now it is bon who,2,5,1,2
now it was the,2,4,1,2
now it will come,2,4,1,2
now it would be,3,4,1,3
now that i have,2,4,1,2
now that was all,2,4,1,2
now who in the,2,4,1,2
occurred to him that,2,4,1,2
of a man and,2,4,1,2
of a man who,4,4,1,4
of a young man,2,4,1,2
of course did not know this,2,6,1,2
of earth which he,2,4,1,2
of her mother's life,2,4,1,2
of his fellow citizens,2,4,1,2
of his wild niggers,2,4,1,2
of it and this,2,4,1,2
of it maybe he,2,4,1,2
of it that he,2,4,1,2
of logic and morality,2,4,1,2
of men and women,2,4,1,2
of one man of the world,2,6,1,2
of one of the,2,4,1,2
of that day and,2,4,1,2
of that which the,2,4,1,3
of the hand on,2,4,1,2
of the holston house,2,4,1,2
of the man who had,2,5,1,2
of the slave quarters,2,4,1,2
of the stallion and that,2,5,1,2
of the subject as,2,4,1,2
of the two children,2,4,1,2
of the two men,2,4,1,2
of the two of them,2,5,1,2
of the wedding and,2,4,1,2
of the whiskey and,3,4,1,3
of the wild negro,2,4,1,3
of the young which,2,4,1,2
of them had been,2,4,1,2
of them the two,2,4,1,2
of them while the,2,4,1,2
of what he actually,2,4,1,2
of what he had,2,4,1,2
of which had been,3,4,1,3
of which he had,2,4,1,2
of which he was,3,4,1,3
of which i believed that,2,5,1,2
of which i had,2,4,1,2
of which miss coldfield told quentin,2,6,1,2
of whom it was,2,4,1,2
offered to teach judith,2,4,1,2
ogre face of her childhood,2,5,1,2
oh i hold no brief for,2,6,1,2
oh quentin said yes,3,4,1,3
oh yes i know,3,4,1,3
old sutpen at last,2,4,1,2
on a log now,2,4,1,2
on a pallet on the floor,3,6,1,3
on ahead to wait,2,4,1,2
on either side of the book and,2,7,1,2
on his arm and,2,4,1,2
on his arm he,2,4,1,2
on his back with,2,4,1,2
on his face and the,3,5,1,3
on it and the,2,4,1,2
on one hand and,2,4,1,2
on the bare floor,2,4,1,2
on the bed and,2,4,1,2
on the black stallion,2,4,1,2
on the body of,2,4,1,2
on the bottom step,2,4,1,2
on the day when,3,4,1,3
on the edge of town,2,5,1,2
on the floor where,2,4,1,2
on the front gallery,2,4,1,2
on the log and,2,4,1,2
on the night before,2,4,1,2
on the outside of the,2,5,1,2
on the point of,3,4,1,3
on the roan horse,2,4,1,2
on the table before him,2,5,1,2
on the third day,2,4,1,2
on to the river to take the steamboat home to new orleans,2,12,1,2
on up the stairs and,2,5,1,2
once more to the,2,4,1,2
one another across the,2,4,1,2
one another in the,2,4,1,2
one another yet who,2,4,1,2
one day he was,2,4,1,2
one hand and the,2,4,1,2
one man to another,2,4,1,2
one of his arms,2,4,1,2
one of pettibone's niggers,2,4,1,2
one of that triumvirate,2,4,1,2
one of the negroes,3,4,1,3
one of the niggers,2,4,1,2
one of the two,5,4,1,5
one of the wild niggers,2,5,1,2
only an artist could have borne,2,6,1,2
only because of the,2,4,1,2
onto the gallery too,2,4,1,2
or a man who,2,4,1,3
or at least not,2,4,1,2
or at least that,2,4,1,2
or at least the,3,4,1,3
or it may have been,2,5,1,2
or may not have,3,4,1,3
or maybe he just,2,4,1,2
or maybe it was the,2,5,1,2
or maybe she didn't,2,4,1,2
or maybe she was,2,4,1,2
or not for that,2,4,1,2
or perhaps it was,2,4,1,2
or that you would all,2,5,1,2
or was it the,2,4,1,2
out and took the,2,4,1,2
out at sutpen's hundred and,2,5,1,2
out in front of you,2,5,1,2
out of all proportion to,2,5,1,2
out of that first,2,4,1,2
out of the church and,2,5,1,2
out of the house,4,4,1,4
out of the office,3,4,1,3
out of the rain,2,4,1,2
out of the store,2,4,1,2
out of which he,3,4,1,3
out of which the,3,4,1,3
out onto the gallery,2,4,1,2
out the window and,2,4,1,2
out there one day,2,4,1,2
out there to live for the rest of,2,8,1,2
out to sutpen's hundred and,2,5,1,2
over a period of,2,4,1,2
over whiskey at night,2,4,1,2
paying any attention to,2,4,1,2
perhaps but at least,3,4,1,3
perhaps in the hope,2,4,1,2
perhaps it was because,2,4,1,2
perhaps she saw in,2,4,1,2
perhaps the reason was the,2,5,1,2
perhaps we do not even want to,2,7,1,2
perhaps you are right,2,4,1,2
pistol by the barrel,2,4,1,2
play with her nephew and niece,2,6,1,2
plus liquid assets plus,2,4,1,2
portico and scaling walls,2,4,1,2
pride and hope and,2,4,1,2
probably he would have,2,4,1,2
proposed to her and,2,4,1,2
provided of course that,2,4,1,2
put his hand on,2,4,1,2
put one of the stones,2,5,1,2
put the musket down and,2,5,1,2
puts the cloak about,2,4,1,2
quentin did not answer he,2,5,1,2
quentin did not even,2,4,1,2
quentin didn't answer he lay,2,5,1,2
quentin looked at the,2,4,1,2
quentin said all right shreve said,2,6,1,2
quentin seemed to watch,2,4,1,2
quiet of that house,2,4,1,2
reacted to the discovery,2,4,1,2
read it if you like,2,5,1,2
read to us and i,2,5,1,2
realised at last that,2,4,1,2
realised that he had,2,4,1,2
realised that he was,2,4,1,2
realised that he would,2,4,1,2
returned to the house and,2,5,1,2
ribbons and beads and,2,4,1,2
right not even you,2,4,1,2
rode again to sutpen's hundred and,2,6,1,2
rode into town out of,2,5,1,2
rode on to the river to take the steamboat home,2,10,1,2
rode side by side,2,4,1,2
rode up the drive,2,4,1,2
roof under which he had been born and,2,8,1,2
room in the house,2,4,1,2
room with the blinds,2,4,1,2
rosie coldfield lose him weep him caught a,2,8,1,2
run him to earth,2,4,1,2
said do you want to know,2,6,1,2
said dont you go up there,3,6,1,3
said go out and,2,4,1,2
said he was a,2,4,1,3
said i dont know,2,4,1,2
said it's not true,2,4,1,2
said it would have,2,4,1,2
said no and so you went,2,6,1,2
said so that sunday,2,4,1,2
said that he had,2,4,1,2
said that was all,2,4,1,2
sat on the log,3,4,1,3
saw that she had,2,4,1,2
saw the woman and,2,4,1,2
saw with his own eyes,2,5,1,2
seem to have been,2,4,1,2
seem to see them,2,4,1,2
seemed to him that he could,2,6,1,2
seemed to him to,2,4,1,2
seems to have been,4,4,1,4
seen himself as the,2,4,1,2
seen together in the carriage in town,2,7,1,2
sent for him and he,2,5,1,2
sent him acknowledgement that,2,4,1,2
sent the nigger for henry,2,5,1,2
set for the wedding,2,4,1,2
she and her father,2,4,1,2
she and i were,2,4,1,2
she came to our house,2,5,1,2
she could not have,6,4,1,6
she could not see,2,4,1,2
she did not even,4,4,1,4
she did not know where,2,5,1,2
she did not need to,2,5,1,2
she did not see,2,4,1,2
she died two years later,2,5,1,2
she had been born,2,4,1,2
she had called me,2,4,1,2
she had never seen,3,4,1,3
she had not seen him,2,5,1,2
she had seen him,2,4,1,2
she heard the horse and then,2,6,1,2
she heard the whip,2,4,1,2
she looked at him and,2,5,1,2
she might have been,2,4,1,2
she miss coldfield had,2,4,1,2
she must have seen,2,4,1,2
she not even knowing,2,4,1,2
she seemed to have,2,4,1,2
she sold the store,3,4,1,3
she was not looking at,2,5,1,2
she was not using,2,4,1,2
she was right about the,2,5,1,2
she would have said,2,4,1,2
she would have the,2,4,1,2
she would have to,3,4,1,3
she would not have had to,2,6,1,2
she would not have needed to,2,6,1,2
she would want to,2,4,1,2
shoot him and the other no that wouldn't do no good and the first,2,14,1,2
should have been the,3,4,1,3
shreve said quentin did not answer,2,6,1,2
since father said that,2,4,1,2
since he had been,4,4,1,4
since he had got,2,4,1,2
since it would be,3,4,1,3
since that day when,2,4,1,2
since there was nothing,2,4,1,2
since they did not,2,4,1,2
sits on the log,2,4,1,2
sitting there in the,3,4,1,3
sitting there on the,2,4,1,2
sitting there with his,2,4,1,2
slept in the same room,2,5,1,2
smiling while the lawyer,2,4,1,2
so for the first,2,4,1,2
so he and the,2,4,1,2
so he didn't have to,2,5,1,2
so he told grandfather,5,4,1,5
so he would not,2,4,1,2
so i went to the west indies,2,7,1,2
so it was four of them,2,6,1,2
so it was not until he,2,6,1,2
so much as the,2,4,1,2
so she did not,2,4,1,2
so she would have,2,4,1,2
so that fixed that,2,4,1,2
so that he had to,2,5,1,2
so that maybe he even,2,5,1,2
so that now they,2,4,1,2
so that she could,2,4,1,2
so that was all,2,4,1,2
so that when he,3,4,1,3
so they had to,2,4,1,2
so well that it,2,4,1,2
some more of it,3,4,1,3
some of them were,2,4,1,2
some things that just have to be whether they are or not,2,12,1,2
someone to go with her,2,5,1,2
something had to be done,2,5,1,2
son of a bitch,2,4,1,2
sooner or later and,2,4,1,2
speak to him and,2,4,1,2
spot of negro blood,2,4,1,2
stallion which he rode,2,4,1,2
stand back dont you touch me,2,6,1,2
standing there with the,2,4,1,2
staring at the window,2,4,1,2
still he did not,2,4,1,3
still it was as,2,4,1,2
still too young to,2,4,1,2
stood there in the,2,4,1,2
store and he was,2,4,1,2
strong as a curry comb,2,5,1,2
sunday morning in june,2,4,1,2
sutpen had found out,2,4,1,2
takes the form of,2,4,1,2
taught to do anything,2,4,1,2
telling how he got,2,4,1,2
than he would have,3,4,1,3
